ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Awaran,PK201,Balochistan,PK2,-0.09712529409807724,144523.87637354806
Barkhan,PK202,Balochistan,PK2,-0.30857143900511225,125911.6382927224
Chagai,PK203,Balochistan,PK2,-0.11916856137629213,134894.1468205545
Dera Bugti,PK204,Balochistan,PK2,0.1853749881543689,223601.79380618036
Gwadar,PK205,Balochistan,PK2,0.2370598529426685,200746.96624217555
Harnai,PK206,Balochistan,PK2,-0.1467959249644607,95199.11073316261
Jaffarabad,PK207,Balochistan,PK2,-0.11290604685276391,383064.223709831
Jhal Magsi,PK208,Balochistan,PK2,-0.31224714659688824,134711.45830776915
Kachhi,PK209,Balochistan,PK2,-0.22300068780494475,244713.87004582584
Kalat,PK210,Balochistan,PK2,0.035503376680423235,177280.34614871442
Kech,PK211,Balochistan,PK2,0.0175157418703741,504761.0453658551
Kharan,PK212,Balochistan,PK2,-0.07501649362960086,135742.87516027316
Khuzdar,PK213,Balochistan,PK2,-0.09896245381349532,514844.44477518275
Killa Abdullah,PK214,Balochistan,PK2,-0.10699764161255648,201061.5339599531
Killa Saifullah,PK215,Balochistan,PK2,-0.19439988466525696,237918.70512177423
Kohlu,PK216,Balochistan,PK2,-0.1593853534969484,122624.26629992574
Lasbela,PK217,Balochistan,PK2,-0.05806042720241651,376696.3033577092
Lehri,PK218,Balochistan,PK2,-0.11213481886570414,109295.04758001119
Loralai,PK219,Balochistan,PK2,0.18931685937395917,165109.36029925942
Mastung,PK220,Balochistan,PK2,-0.033278569659582605,179071.85173255764
Musakhel,PK221,Balochistan,PK2,-0.28648309259959615,159869.8795583807
Nasirabad,PK222,Balochistan,PK2,-0.2997701153133616,301781.97290373035
Nushki,PK223,Balochistan,PK2,0.14910045251367893,121347.24076680653
Panjgur,PK224,Balochistan,PK2,0.5566005735495742,272818.4348162897
Pishin,PK225,Balochistan,PK2,-0.05770886792587749,505675.24366053566
Quetta,PK226,Balochistan,PK2,0.8671966512207694,1109888.4953802638
Sherani,PK227,Balochistan,PK2,-0.246510914573455,112788.00907152332
Sibi,PK228,Balochistan,PK2,0.4891780660867746,127173.17665188015
Sohbatpur,PK229,Balochistan,PK2,-0.4052495410820882,115314.25211644545
Washuk,PK230,Balochistan,PK2,0.011298598028707814,136564.5826528538
Zhob,PK231,Balochistan,PK2,0.08302731316199044,245505.9764138125
Ziarat,PK232,Balochistan,PK2,-0.2627824011953542,98489.06891716272
Shaheed Sikandarabad,PK233,Balochistan,PK2,-0.12093927522862123,114429.02989262342
Duki,PK234,Balochistan,PK2,-0.46606616309430793,142416.14320846274
Chaman,PK235,Balochistan,PK2,0.153550958539674,255844.60131456144
Islamabad,PK401,Islamabad,PK4,0.8298284552232957,1991632.858385242
Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,0.5265038917815994,1491280.3977390137
Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.15221855586383928,832936.8609187119
Bannu,PK503,Khyber Pakhtunkhwa,PK5,0.13941781232725833,1261515.8066942794
Batagram,PK504,Khyber Pakhtunkhwa,PK5,-0.02806931819606439,540903.0633642357
Buner,PK505,Khyber Pakhtunkhwa,PK5,0.1110724439891008,890251.3542839922
Charsadda,PK506,Khyber Pakhtunkhwa,PK5,0.4162977834081254,1804072.9908029344
Chitral Lower,PK507,Khyber Pakhtunkhwa,PK5,-0.04662553015518322,323721.7531262282
Chitral Upper,PK508,Khyber Pakhtunkhwa,PK5,-0.22491094442596613,234434.59701551497
D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,0.11375549454639672,1548956.0402974933
Hangu,PK510,Khyber Pakhtunkhwa,PK5,-0.0567684192326874,551202.8183397651
Haripur,PK511,Khyber Pakhtunkhwa,PK5,0.44547389999568204,1245870.544497488
Karak,PK512,Khyber Pakhtunkhwa,PK5,0.03205095245784565,753285.9163908064
Khyber,PK513,Khyber Pakhtunkhwa,PK5,-0.019902566600640267,788003.0900874026
Kohat,PK514,Khyber Pakhtunkhwa,PK5,0.4498487964405963,1152964.9936780147
Kohistan Lower,PK515,Khyber Pakhtunkhwa,PK5,0.049434155716335644,229248.37556268275
Kohistan Upper,PK516,Khyber Pakhtunkhwa,PK5,-0.1611085293539558,315894.64228492975
Kolai Palas Kohistan,PK517,Khyber Pakhtunkhwa,PK5,-0.36434894028515336,276753.89930808544
Kurram,PK518,Khyber Pakhtunkhwa,PK5,-0.07403196821104488,695527.7578675542
Lakki Marwat,PK519,Khyber Pakhtunkhwa,PK5,-0.08443318191190421,819011.2681556288
Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,0.07859583522502867,1295972.732110463
Malakand,PK521,Khyber Pakhtunkhwa,PK5,0.2824142487412176,769771.6490163151
Mansehra,PK522,Khyber Pakhtunkhwa,PK5,0.30468173733774645,1703269.023755215
Mardan,PK523,Khyber Pakhtunkhwa,PK5,0.5186427433446337,2548369.251435008
Mohmand,PK524,Khyber Pakhtunkhwa,PK5,-0.24938252105217834,533502.2835492454
North Waziristan,PK525,Khyber Pakhtunkhwa,PK5,-0.10175508412779552,544339.4812298035
Nowshera,PK526,Khyber Pakhtunkhwa,PK5,0.47926060961115835,1533535.8321152963
Orakzai,PK527,Khyber Pakhtunkhwa,PK5,-0.29420728009248376,314850.90847406443
Peshawar,PK528,Khyber Pakhtunkhwa,PK5,0.7806435234423443,3588045.3167100856
Shangla,PK529,Khyber Pakhtunkhwa,PK5,0.0814402678407657,773005.8017318156
South Waziristan,PK530,Khyber Pakhtunkhwa,PK5,-0.1686167858285173,619670.9983152775
Swabi,PK531,Khyber Pakhtunkhwa,PK5,0.25496988624857747,1791060.4967257222
Swat,PK532,Khyber Pakhtunkhwa,PK5,0.36822892033376486,2201816.1980989035
Tank,PK533,Khyber Pakhtunkhwa,PK5,-0.17404256683407632,445933.9828288909
Tor Ghar,PK534,Khyber Pakhtunkhwa,PK5,-0.18513089646496791,286772.5863318518
Upper Dir,PK535,Khyber Pakhtunkhwa,PK5,-0.021275082394816108,1002604.0740651041
Attock,PK601,Punjab,PK6,0.19207106922981587,2134763.1182334237
Bahawalnagar,PK602,Punjab,PK6,0.03956789044664463,3411217.5539601156
Bahawalpur,PK603,Punjab,PK6,0.12465732909672977,4022048.1779090147
Bhakkar,PK604,Punjab,PK6,-0.22173191094050532,1710591.258999573
Chakwal,PK605,Punjab,PK6,0.11511534713570615,1780092.6558265295
Chiniot,PK606,Punjab,PK6,0.0811708430568848,1597636.7015985157
Dera Ghazi Khan,PK607,Punjab,PK6,0.01721014917702083,2721539.9277375396
Faisalabad,PK608,Punjab,PK6,0.6128610217736858,9745562.061172148
Gujranwala,PK609,Punjab,PK6,0.6675092066236025,5624573.379966266
Gujrat,PK610,Punjab,PK6,0.5058666931526347,3423995.1078952802
Hafizabad,PK611,Punjab,PK6,0.30021576108559717,1376063.7304366343
Jhang,PK612,Punjab,PK6,-0.009387199834165133,3094476.899166975
Jhelum,PK613,Punjab,PK6,0.2963664602599935,1539441.2196110217
Kasur,PK614,Punjab,PK6,0.24896313934403289,3930649.599956436
Khanewal,PK615,Punjab,PK6,0.0981074087070229,3424644.3513293173
Khushab,PK616,Punjab,PK6,-0.11286394754927159,1502275.5186290098
Lahore,PK617,Punjab,PK6,0.9367055434264139,12328363.629581314
Leiah,PK618,Punjab,PK6,-0.28907785766298083,1885509.3933995403
Lodhran,PK619,Punjab,PK6,-0.03959730531753634,1938633.82558872
Mandi Bahauddin,PK620,Punjab,PK6,0.17700800702705544,1922316.335529469
Mianwali,PK621,Punjab,PK6,0.003091966348847573,1744880.2995251268
Multan,PK622,Punjab,PK6,0.45126138151434075,5157947.2072987985
Muzaffargarh,PK623,Punjab,PK6,-0.16008622524636149,4335461.345173579
Nankana Sahib,PK624,Punjab,PK6,0.07719272314942927,1771737.3821256943
Narowal,PK625,Punjab,PK6,0.1254916557628664,2093560.976933336
Okara,PK626,Punjab,PK6,0.26614952339914594,3711656.696552949
Pakpattan,PK627,Punjab,PK6,0.11130707708167706,2132383.655063601
Rahim Yar Khan,PK628,Punjab,PK6,0.15339015659873606,5218794.2613917105
Rajanpur,PK629,Punjab,PK6,-0.04038132268804168,1896509.2411050573
Rawalpindi,PK630,Punjab,PK6,0.7128344575277066,5493599.251113394
Sahiwal,PK631,Punjab,PK6,0.1972539163182681,3047227.835658053
Sargodha,PK632,Punjab,PK6,0.21074643815309668,4411024.097717043
Sheikhupura,PK633,Punjab,PK6,0.5112941756991485,3735043.9108492862
Sialkot,PK634,Punjab,PK6,0.7929224512063395,4504921.240481247
Toba Tek Singh,PK635,Punjab,PK6,0.04630090960909779,2674542.1872489955
Vehari,PK636,Punjab,PK6,0.0035405406384520217,3452916.592451589
Badin,PK701,Sindh,PK7,-0.32491017335675954,1763024.6677078344
Central Karachi,PK702,Sindh,PK7,1.1363244246568163,3999904.560802549
Dadu,PK703,Sindh,PK7,-0.008434639619393322,1754569.0399912745
East Karachi,PK704,Sindh,PK7,1.0308655432798288,3624699.1377669796
Ghotki,PK705,Sindh,PK7,-0.11156726662331426,1540441.3389570788
Hyderabad,PK706,Sindh,PK7,0.9686813316372822,2757921.666223284
Jacobabad,PK707,Sindh,PK7,-0.15357801345241112,1185519.5095472
Jamshoro,PK708,Sindh,PK7,0.22262118477749962,919250.9636541195
Kambar Shahdad Kot,PK709,Sindh,PK7,-0.08387881973796583,1467049.2533891685
Kashmore,PK710,Sindh,PK7,-0.06788542972132963,1003585.1433571
Khairpur,PK711,Sindh,PK7,-0.06405026431915753,2446319.753807882
Korangi Karachi,PK712,Sindh,PK7,0.9943015679756168,1964298.2032400444
Larkana,PK713,Sindh,PK7,0.2587563467227447,1601419.846902635
Malir Karachi,PK714,Sindh,PK7,0.7759098293398158,1406532.6391257327
Matiari,PK715,Sindh,PK7,-0.12617937230829693,792977.9691954888
Mirpur Khas,PK716,Sindh,PK7,-0.12609665480390733,1567553.036157798
Naushahro Feroze,PK717,Sindh,PK7,-0.15929295327913912,1732742.82783534
Sanghar,PK718,Sindh,PK7,-0.06690459249422255,2133440.7481896095
Shaheed Benazir Abad,PK719,Sindh,PK7,-0.022547521916676673,1740140.1544441674
Shikarpur,PK720,Sindh,PK7,-0.007054852796429039,1399916.9840296041
South Karachi,PK721,Sindh,PK7,0.9949211488213711,4430172.103405278
Sujawal,PK722,Sindh,PK7,-0.3193819784662821,840436.8538424633
Sukkur,PK723,Sindh,PK7,0.3908948930725523,1573215.7100103572
Tando Allahyar,PK724,Sindh,PK7,0.03909003301939342,784202.2512151562
Tando Muhammad Khan,PK725,Sindh,PK7,-0.19535285407246583,706756.3347238824
Tharparkar,PK726,Sindh,PK7,-0.27199779347157255,1448116.4519273955
Thatta,PK727,Sindh,PK7,-0.22599264692434337,917292.3720421232
Umer Kot,PK728,Sindh,PK7,-0.10230934657064018,1053837.246395599
West Karachi,PK729,Sindh,PK7,0.9489403686984902,3583498.456507027
