ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Awaran,PK20101,Awaran,PK201,Balochistan,PK2,-0.3239928466535833,29587.916781812906
Jhal Jhao,PK20102,Awaran,PK201,Balochistan,PK2,-0.048971365708100754,65795.6644797884
Mashkai,PK20103,Awaran,PK201,Balochistan,PK2,-0.035377330180528875,26151.347728423774
Gishekore,PK20104,Awaran,PK201,Balochistan,PK2,-0.01319687225010058,22988.947383522987
Ormara,PK20503,Gwadar,PK205,Balochistan,PK2,-0.012332652593560164,31147.237379275262
Pasni,PK20504,Gwadar,PK205,Balochistan,PK2,-0.22414729055695898,48145.07148286328
Kech (Turbat),PK21103,Kech,PK211,Balochistan,PK2,0.16519910334175192,284160.1404846981
Naal,PK21303,Khuzdar,PK213,Balochistan,PK2,-0.21049277562655427,96104.941317074
Wadh,PK21304,Khuzdar,PK213,Balochistan,PK2,-0.25913061158737477,126294.26394568384
Bela,PK21701,Lasbela,PK217,Balochistan,PK2,-0.26335983195710544,103284.10337305069
Uthal,PK21707,Lasbela,PK217,Balochistan,PK2,-0.1424387063352876,61889.05584069155
Lakhra,PK21708,Lasbela,PK217,Balochistan,PK2,-0.5178260121770417,4232.310956180096
Lairi,PK21709,Lasbela,PK217,Balochistan,PK2,-0.13460813887608097,1990.741056919098
Gowargo,PK22401,Panjgur,PK224,Balochistan,PK2,-0.21036773075338489,10946.722729489207
Jaheen Parome,PK22402,Panjgur,PK224,Balochistan,PK2,-0.1271742132627514,12774.328884035349
Panjgur,PK22403,Panjgur,PK224,Balochistan,PK2,0.6325242903116304,246634.1586398352
Gichk,PK22404,Panjgur,PK224,Balochistan,PK2,-0.09085506226914324,2463.224562929943
Washuk,PK23003,Washuk,PK230,Balochistan,PK2,0.2804699999141688,30591.9884110149
Nag,PK23004,Washuk,PK230,Balochistan,PK2,-0.04498195558846844,38775.04164329171
Barkhan,PK20201,Barkhan,PK202,Balochistan,PK2,-0.2681760045042493,74314.56539646536
Rakhni,PK20202,Barkhan,PK202,Balochistan,PK2,-0.3667524363064298,51597.07289625704
Phelawagh,PK20402,Dera Bugti,PK204,Balochistan,PK2,0.06150234346267476,69436.30089084059
Kahan,PK21601,Kohlu,PK216,Balochistan,PK2,-0.10892613752302421,32872.144380405545
Kohlu,PK21602,Kohlu,PK216,Balochistan,PK2,-0.10838686415177463,60220.34792905301
Mawand,PK21603,Kohlu,PK216,Balochistan,PK2,-0.31954672431626174,29531.77399046719
Mekhtar,PK21902,Loralai,PK219,Balochistan,PK2,-0.17963676617802382,25964.55729688704
Kingri,PK22102,Musakhel,PK221,Balochistan,PK2,-0.2257685051814884,22176.63022440672
Duki,PK23401,Duki,PK234,Balochistan,PK2,-0.46606616309430793,142416.14320846274
D.G Khan (Tribal Area),PK60701,Dera Ghazi Khan,PK607,Punjab,PK6,-0.328551055294956,213313.8477597274
Jampur,PK62901,Rajanpur,PK629,Punjab,PK6,-0.03840585846892004,801389.3366083261
Rajanpur (Tribal Area),PK62903,Rajanpur,PK629,Punjab,PK6,0.1867254098383449,93402.37988422811
Dalbandin,PK20301,Chagai,PK203,Balochistan,PK2,-0.09525189246768981,76925.17292887904
Nokkundi,PK20302,Chagai,PK203,Balochistan,PK2,-0.13164035395766863,9721.925362478942
Taftan,PK20303,Chagai,PK203,Balochistan,PK2,0.012501424686478307,18139.558346629143
Chagai,PK20304,Chagai,PK203,Balochistan,PK2,-0.2555791165187458,30107.490182567388
Kharan,PK21201,Kharan,PK212,Balochistan,PK2,-0.07173849656821933,64676.794307626784
Sar Kharan,PK21202,Kharan,PK212,Balochistan,PK2,-0.14563827076956765,8071.27733707428
Tomulk,PK21203,Kharan,PK212,Balochistan,PK2,-0.06933352316735869,62994.8035155721
Nushki,PK22301,Nushki,PK223,Balochistan,PK2,0.14910045251367893,121347.24076680653
Mashkhel,PK23001,Washuk,PK230,Balochistan,PK2,0.025710764879091682,30903.20383566618
Basima,PK23002,Washuk,PK230,Balochistan,PK2,-0.16347090737439698,28933.09607798606
Shaogari,PK23005,Washuk,PK230,Balochistan,PK2,-0.18445162235984927,7361.252684894949
Dera Bugti,PK20401,Dera Bugti,PK204,Balochistan,PK2,0.22772875082498029,66082.39616674557
Sui,PK20403,Dera Bugti,PK204,Balochistan,PK2,0.251249376308162,88083.0967485942
Jhat Pat,PK20702,Jaffarabad,PK207,Balochistan,PK2,-0.18667398257404025,205599.9303444773
Lehri,PK21802,Lehri,PK218,Balochistan,PK2,-0.12880348171464762,40319.72256708145
Chattar,PK22201,Nasirabad,PK222,Balochistan,PK2,-0.41252754841263006,59996.74254666641
Dera Murad Jamali,PK22202,Nasirabad,PK222,Balochistan,PK2,-0.20770740788741776,157472.76268866286
Sibi,PK22801,Sibi,PK228,Balochistan,PK2,0.4891780660867746,127173.17665188015
Sohbatpur,PK22901,Sohbatpur,PK229,Balochistan,PK2,-0.4052495410820882,115314.25211644545
Rojhan,PK62904,Rajanpur,PK629,Punjab,PK6,-0.2357403074431333,346674.64788820036
Kashmore,PK71002,Kashmore,PK710,Sindh,PK7,-0.0964176684944719,356866.43418391794
Tangwani,PK71003,Kashmore,PK710,Sindh,PK7,-0.3249903622578237,285852.2829616405
Gwadar,PK20501,Gwadar,PK205,Balochistan,PK2,0.5154673062404933,110083.18214496225
Jiwani,PK20502,Gwadar,PK205,Balochistan,PK2,0.3490790495856434,7232.967052750289
Sunster,PK20505,Gwadar,PK205,Balochistan,PK2,-0.1218789294167028,4138.508182324469
Dasht,PK21102,Kech,PK211,Balochistan,PK2,-0.10100166090680213,27089.577095471323
Mand,PK21104,Kech,PK211,Balochistan,PK2,-0.26208418913096654,56705.19339683652
Harnai,PK20601,Harnai,PK206,Balochistan,PK2,-0.09295282349963359,56691.17458919063
Shahrigh,PK20602,Harnai,PK206,Balochistan,PK2,-0.2260634467073481,38507.93614397198
Mach,PK20902,Kachhi,PK209,Balochistan,PK2,-0.014761358751871703,37363.804425261915
Loralai,PK21901,Loralai,PK219,Balochistan,PK2,0.25816396931866425,139144.80300237238
Dasht Spenzend,PK22001,Mastung,PK220,Balochistan,PK2,-0.3134225443056556,24966.158386163414
Quetta City,PK22602,Quetta,PK226,Balochistan,PK2,0.9262539785632258,948178.8743704818
Quetta Saddar,PK22603,Quetta,PK226,Balochistan,PK2,0.5557883917028804,154507.05431264825
Sinjawi,PK23201,Ziarat,PK232,Balochistan,PK2,-0.2742907988613001,57509.50057205185
Ziarat,PK23202,Ziarat,PK232,Balochistan,PK2,-0.24663186011157834,40979.56834511086
Gandakha,PK20701,Jaffarabad,PK207,Balochistan,PK2,-0.4120161032966082,37121.60396223888
Usta Mohammad,PK20703,Jaffarabad,PK207,Balochistan,PK2,0.07427953163450819,140342.68940311484
Gandawa,PK20801,Jhal Magsi,PK208,Balochistan,PK2,-0.35324727459527766,56999.180154681206
Jhal Magsi,PK20802,Jhal Magsi,PK208,Balochistan,PK2,-0.2821750172283281,77712.27815308794
Tamboo,PK22203,Nasirabad,PK222,Balochistan,PK2,-0.391480041601993,84312.46766840108
Garhi Khairo,PK70701,Jacobabad,PK707,Sindh,PK7,-0.50843611240343,203851.99600698054
Jacobabad,PK70702,Jacobabad,PK707,Sindh,PK7,0.04553741575993534,432103.7143882513
Qubo Saeed Khan,PK70904,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.34267210766181533,59850.846402535215
Shahdad Kot,PK70905,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.15699167776249026,244090.44002072327
Rato Dero,PK71304,Larkana,PK713,Sindh,PK7,-0.08259611892120823,361292.82017508894
Garhi Yasin,PK72001,Shikarpur,PK720,Sindh,PK7,-0.2645832838165049,369324.2600146979
Shikarpur,PK72004,Shikarpur,PK720,Sindh,PK7,0.43479958284643816,424447.2726697996
Sanni,PK20903,Kachhi,PK209,Balochistan,PK2,-0.27885361482345145,75932.18444997817
Kalat,PK21001,Kalat,PK210,Balochistan,PK2,0.1693716395145898,121458.14486127347
Khuzdar,PK21301,Khuzdar,PK213,Balochistan,PK2,0.10172384730070695,224654.68028787524
Mola,PK21302,Khuzdar,PK213,Balochistan,PK2,-0.341103621785726,37099.29784787819
Zehri,PK21305,Khuzdar,PK213,Balochistan,PK2,-0.26692279970348437,30691.261376671493
Bhag,PK21801,Lehri,PK218,Balochistan,PK2,-0.10239110455181534,68975.32501292974
Dhadar,PK20901,Kachhi,PK209,Balochistan,PK2,-0.14747387852785943,58106.62922681868
Balanari,PK20904,Kachhi,PK209,Balochistan,PK2,-0.3286321821729087,46128.5672506541
Khattan,PK20905,Kachhi,PK209,Balochistan,PK2,-0.3354089231963909,27182.68469311297
Khaliqabad,PK21002,Kalat,PK210,Balochistan,PK2,-0.25576766753934876,55822.201287440956
Kirdgap,PK22002,Mastung,PK220,Balochistan,PK2,-0.36543041525674086,19404.21417001821
Mastung,PK22003,Mastung,PK220,Balochistan,PK2,0.06649215649020314,134701.47917637601
Surab,PK23301,Shaheed Sikandarabad,PK233,Balochistan,PK2,-0.12093927522862123,114429.02989262342
Buleda,PK21101,Kech,PK211,Balochistan,PK2,-0.17946507658772914,87939.55482709408
Tump,PK21105,Kech,PK211,Balochistan,PK2,-0.0966310805068149,48866.57956175506
Dureji,PK21702,Lasbela,PK217,Balochistan,PK2,-0.20706809071920249,37397.79320210405
Kanraj,PK21705,Lasbela,PK217,Balochistan,PK2,-0.22061083192465233,9143.894309997559
Johi,PK70302,Dadu,PK703,Sindh,PK7,-0.09044087837759017,343694.8185953945
Khairpur Nathan Shah,PK70303,Dadu,PK703,Sindh,PK7,-0.06523150734804536,406991.6611097492
Thano Bula Khan,PK70804,Jamshoro,PK708,Sindh,PK7,-0.08472360370049431,164214.21185218915
Qambar Ali Khan,PK70903,Kambar Shahdad Kot,PK709,Sindh,PK7,0.03031531797205505,400785.7505261861
Dobandi,PK21402,Killa Abdullah,PK214,Balochistan,PK2,-0.29575778705501155,24575.5556919612
Gulistan,PK21403,Killa Abdullah,PK214,Balochistan,PK2,-0.42219109194639215,7017.917216960341
Killa Abdullah,PK21404,Killa Abdullah,PK214,Balochistan,PK2,-0.06657181171855824,169468.06105103157
Barshore,PK22501,Pishin,PK225,Balochistan,PK2,-0.2099641279726081,116177.3008422982
Huramzai,PK22502,Pishin,PK225,Balochistan,PK2,-0.1330759192410801,30693.332258308306
Karezat,PK22503,Pishin,PK225,Balochistan,PK2,-0.043573380187169976,92504.34821286611
Pishin,PK22504,Pishin,PK225,Balochistan,PK2,0.09410197081188812,184497.68922119215
Saranan,PK22505,Pishin,PK225,Balochistan,PK2,-0.17157413611051914,81802.5731258709
Panjpai,PK22601,Quetta,PK226,Balochistan,PK2,-0.22715451935546088,7202.566697133705
Chaman,PK23501,Chaman,PK235,Balochistan,PK2,0.153550958539674,255844.60131456144
Killa Saifullah,PK21501,Killa Saifullah,PK215,Balochistan,PK2,-0.37497756837637586,121211.57047244906
Muslim Bagh,PK21502,Killa Saifullah,PK215,Balochistan,PK2,-0.0068526134494052695,116707.13464932516
Kakar Khurasan,PK23101,Zhob,PK231,Balochistan,PK2,-0.2092161403601661,29600.504767823964
Zhob,PK23102,Zhob,PK231,Balochistan,PK2,0.12309370737330483,215905.47164598852
Gaddani,PK21703,Lasbela,PK217,Balochistan,PK2,0.13112793392464198,72136.70127402246
Hub,PK21704,Lasbela,PK217,Balochistan,PK2,0.26165947824551683,63326.178493076935
Sonmiani,PK21706,Lasbela,PK217,Balochistan,PK2,0.014457878055490049,23295.524851666763
Gulberg Town,PK70201,Central Karachi,PK702,Sindh,PK7,1.1815836291265958,1145115.7132327259
Liaqatabad Town,PK70202,Central Karachi,PK702,Sindh,PK7,1.0619108258103032,639947.1674115658
New Karachi Town,PK70203,Central Karachi,PK702,Sindh,PK7,1.2202698913952785,1177437.4678806067
North Nazimabad Town,PK70204,Central Karachi,PK702,Sindh,PK7,1.0369930444820823,1037404.2122776508
Gulshan Iqbal Town,PK70401,East Karachi,PK704,Sindh,PK7,0.9157042338294996,716668.7057399265
Jamshaid Town,PK70402,East Karachi,PK704,Sindh,PK7,1.059246438364738,2908030.432027053
Bin Qasim Town,PK71401,Malir Karachi,PK714,Sindh,PK7,0.7957770369288987,616693.874866575
Gadap Town,PK71402,Malir Karachi,PK714,Sindh,PK7,0.29540144835413307,417217.8734377306
Malir Town,PK71403,Malir Karachi,PK714,Sindh,PK7,1.281047099657725,372620.8908214271
Kemari Town,PK72101,South Karachi,PK721,Sindh,PK7,0.5562799237180163,288731.0370038077
Baldia Town,PK72901,West Karachi,PK729,Sindh,PK7,1.1166571046704654,603560.9457052276
Orangi Town,PK72902,West Karachi,PK729,Sindh,PK7,0.9148182098127225,1899757.7172218598
Site Town,PK72903,West Karachi,PK729,Sindh,PK7,0.9152390929306081,1080179.7935799398
Drug,PK22101,Musakhel,PK221,Balochistan,PK2,-0.31204348400643317,90536.51223219559
Musakhel,PK22103,Musakhel,PK221,Balochistan,PK2,-0.26596208554227085,47156.73710177839
Sherani,PK22701,Sherani,PK227,Balochistan,PK2,-0.246510914573455,112788.00907152332
Darazinda,PK50906,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,-0.110417327834969,56590.22990400344
Toi Khulla,PK53007,South Waziristan,PK530,Khyber Pakhtunkhwa,PK5,-0.23618461575775826,40333.94687164016
Wana,PK53008,South Waziristan,PK530,Khyber Pakhtunkhwa,PK5,0.22388549045165862,131646.83968686312
Thul,PK70703,Jacobabad,PK707,Sindh,PK7,-0.17850684756666405,549563.7991519682
Islamabad,PK40101,Islamabad,PK401,Islamabad,PK4,0.8298284552232957,1991632.858385242
Khanpur,PK51103,Haripur,PK511,Khyber Pakhtunkhwa,PK5,0.158253605620716,183555.91293821856
Fateh Jang,PK60102,Attock,PK601,Punjab,PK6,0.1643480023310936,365159.4291899875
Hasan Abdal,PK60103,Attock,PK601,Punjab,PK6,0.5270334467306019,233212.9021820333
Kahuta,PK63002,Rawalpindi,PK630,Punjab,PK6,0.14387831116910915,277887.12103221286
Kallar Sayaddan,PK63003,Rawalpindi,PK630,Punjab,PK6,0.20269363399224433,246813.1872118814
Kotli Sattian,PK63004,Rawalpindi,PK630,Punjab,PK6,0.03852759528828582,108611.55876037292
Murree,PK63005,Rawalpindi,PK630,Punjab,PK6,0.3780660449409024,305836.64824953675
Rawalpindi,PK63006,Rawalpindi,PK630,Punjab,PK6,0.9659045813070108,3145431.100297847
Taxila,PK63007,Rawalpindi,PK630,Punjab,PK6,0.7562228965764863,595531.0312909773
Abbottabad,PK50101,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,0.6626492394664953,1054839.2846072502
Havelian,PK50102,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,0.3265671601356502,265573.81833593175
Lora,PK50103,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,-0.0009033374559004058,92751.02504165657
Lower Tanawal,PK50104,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,-0.005983628557766947,78116.2697541751
Haripur,PK51102,Haripur,PK511,Khyber Pakhtunkhwa,PK5,0.5588254921512773,866666.0828662869
Bala Kot,PK52201,Mansehra,PK522,Khyber Pakhtunkhwa,PK5,0.25482275254762804,361723.76795121655
Mansehra,PK52202,Mansehra,PK522,Khyber Pakhtunkhwa,PK5,0.3904334984475459,787574.6266288776
Oghi,PK52203,Mansehra,PK522,Khyber Pakhtunkhwa,PK5,0.21382615269507274,271775.0895812083
Baffa Pakhal,PK52204,Mansehra,PK522,Khyber Pakhtunkhwa,PK5,0.23846139898370336,222780.53571397625
Bar Chamarkand,PK50201,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,0.0,1008.5973448362201
Barang,PK50202,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.23858401649623434,71740.0975993108
Khar,PK50203,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,0.03993871496842568,176025.09563839622
Mamund,PK50204,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.1640810440109811,238262.54515289515
Nawagai,PK50205,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.1316528268155606,62066.56979277544
Salarzai,PK50206,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.23966255706315562,218806.18974664435
Utman Khel,PK50207,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,-0.261386254965647,65027.765643853694
Balambat,PK52002,Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,0.15258712446781736,237046.16885920055
Lalqila,PK52003,Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,0.0005234672852911498,149224.71703609452
Munda,PK52004,Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,0.12190084454960837,100675.2279091794
Samarbagh,PK52005,Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,-0.05202499879814763,248379.7281072922
Timergara,PK52006,Lower Dir,PK520,Khyber Pakhtunkhwa,PK5,0.2866143472015036,229969.05149912648
Bat Khela,PK52101,Malakand,PK521,Khyber Pakhtunkhwa,PK5,0.24947605245753976,471120.3447201103
Dargai,PK52102,Malakand,PK521,Khyber Pakhtunkhwa,PK5,0.33437402311486053,298651.3042962048
Ambar,PK52401,Mohmand,PK524,Khyber Pakhtunkhwa,PK5,-0.38945176172609103,33105.60650925338
Baizai,PK52402,Mohmand,PK524,Khyber Pakhtunkhwa,PK5,-0.35245996769340593,111254.64987456053
Pandiali,PK52405,Mohmand,PK524,Khyber Pakhtunkhwa,PK5,-0.29303067935895116,129231.1049447842
