ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Jhang,PK61202,Jhang,PK612,Punjab,PK6,0.14274489975116939,1665365.790967511
Athara Hazari,PK61204,Jhang,PK612,Punjab,PK6,-0.2746951187787436,321666.0712574795
Khushab,PK61601,Khushab,PK616,Punjab,PK6,-0.014154768855427262,860788.358544318
Noorpur,PK61603,Khushab,PK616,Punjab,PK6,-0.4046345839238051,285834.6177091934
Quaidabad,PK61604,Khushab,PK616,Punjab,PK6,-0.04641994482498245,239808.24176906887
Choubara,PK61801,Leiah,PK618,Punjab,PK6,-0.49513861740640436,265923.2694976982
Choa Saidan Shah,PK60502,Chakwal,PK605,Punjab,PK6,0.1525691174713912,176796.86812813953
Kallar Kahar,PK60503,Chakwal,PK605,Punjab,PK6,0.08272503535338356,188542.61622752808
Pind Dadan Khan,PK61303,Jhelum,PK613,Punjab,PK6,0.03662495489039155,423705.57576207444
Sohawa,PK61304,Jhelum,PK613,Punjab,PK6,-0.013895330424399492,252600.1113150157
Naushera,PK61602,Khushab,PK616,Punjab,PK6,-0.26395798473567017,115844.30060642958
Malakwal,PK62001,Mandi Bahauddin,PK620,Punjab,PK6,-0.09160642626166654,488048.69118208066
Gujar Khan,PK63001,Rawalpindi,PK630,Punjab,PK6,0.2675709822705385,813488.6042705663
Bhera,PK63207,Sargodha,PK632,Punjab,PK6,0.14387051984107915,397614.85980139486
Bhawana,PK60601,Chiniot,PK606,Punjab,PK6,-0.22043086245098711,465326.4585579932
Chiniot,PK60602,Chiniot,PK606,Punjab,PK6,0.481839963329349,596979.3679477628
Lalian,PK60603,Chiniot,PK606,Punjab,PK6,-0.10347747307150051,535330.8750927597
Chak Jhumra,PK60801,Faisalabad,PK608,Punjab,PK6,0.09579753098847611,416179.48803636245
Faisalabad City,PK60802,Faisalabad,PK608,Punjab,PK6,1.1438929151210808,4280732.306999853
Faisalabad Sadar,PK60803,Faisalabad,PK608,Punjab,PK6,0.5350180341916877,1593739.955206234
Jaranwala,PK60804,Faisalabad,PK608,Punjab,PK6,0.19458268373757526,1707876.5576240513
Pindi Bhattian,PK61102,Hafizabad,PK611,Punjab,PK6,0.1164430618794502,575723.1423649751
Kot Momin,PK63202,Sargodha,PK632,Punjab,PK6,-0.08884143404583134,527047.5995505713
Sahiwal,PK63203,Sargodha,PK632,Punjab,PK6,-0.15542816408942015,395642.7726747263
Sargodha,PK63204,Sargodha,PK632,Punjab,PK6,0.5584042734193387,1788160.2608705312
Sillanwali,PK63206,Sargodha,PK632,Punjab,PK6,-0.030563657970240205,417055.20584969036
Dera Ghazi Khan,PK60702,Dera Ghazi Khan,PK607,Punjab,PK6,0.2037889445342072,1178724.037051851
Kot Chatta,PK60703,Dera Ghazi Khan,PK607,Punjab,PK6,-0.022632662170555706,725789.9687562101
Leiah,PK61803,Leiah,PK618,Punjab,PK6,-0.24706412363556804,978553.8152821641
Kot Addu,PK62303,Muzaffargarh,PK623,Punjab,PK6,-0.3347602626744932,1337615.0429779608
Summundri,PK60805,Faisalabad,PK608,Punjab,PK6,-0.12614987721213056,848946.2310089506
Tandlian Wala,PK60806,Faisalabad,PK608,Punjab,PK6,-0.04654508655675079,898087.5222966969
Pattoki,PK61404,Kasur,PK614,Punjab,PK6,0.25473383002594163,1050358.4790371694
Nankana Sahib,PK62401,Nankana Sahib,PK624,Punjab,PK6,0.04506659538447926,1136692.0661167316
Sangla Hill,PK62402,Nankana Sahib,PK624,Punjab,PK6,0.08549741537431678,314109.49115903676
Shah Kot,PK62403,Nankana Sahib,PK624,Punjab,PK6,0.182849148113316,320935.82484992594
Okara,PK62602,Okara,PK626,Punjab,PK6,0.5116300115579118,1436321.5133233443
Renala Khurd,PK62603,Okara,PK626,Punjab,PK6,0.08110984121487183,582843.5886106417
Sahiwal,PK63102,Sahiwal,PK631,Punjab,PK6,0.3803100872118985,1750181.1299790367
Safdarabad,PK63303,Sheikhupura,PK633,Punjab,PK6,-0.008486168350866801,337130.05192551017
Sheikhupura,PK63305,Sheikhupura,PK633,Punjab,PK6,0.5759384511864061,1736645.945065122
Gojra,PK63501,Toba Tek Singh,PK635,Punjab,PK6,0.061562761955074194,808428.8033524659
Kamalia,PK63502,Toba Tek Singh,PK635,Punjab,PK6,0.049791121863931136,679751.9098767098
Toba Tek Singh,PK63503,Toba Tek Singh,PK635,Punjab,PK6,0.030633744570570606,870645.0150743108
Gujranwala,PK60901,Gujranwala,PK609,Punjab,PK6,0.8888024183195378,3195596.836669339
Kamoke,PK60902,Gujranwala,PK609,Punjab,PK6,0.4386033904176664,665596.6246542633
Nowshera Virkan,PK60903,Gujranwala,PK609,Punjab,PK6,0.2373839719929409,701300.5800866559
Wazirabad,PK60904,Gujranwala,PK609,Punjab,PK6,0.42914860314050707,1062079.3385560084
Gujrat,PK61001,Gujrat,PK610,Punjab,PK6,0.5874460747410146,1812673.3473379128
Kharian,PK61002,Gujrat,PK610,Punjab,PK6,0.4232330760581796,1299897.360481847
Hafizabad,PK61101,Hafizabad,PK611,Punjab,PK6,0.4324122252469064,800340.5880716592
Mandi Bahauddin,PK62002,Mandi Bahauddin,PK620,Punjab,PK6,0.32186446694771687,772513.2913610544
Phalia,PK62003,Mandi Bahauddin,PK620,Punjab,PK6,0.2060117935293146,661754.3529863339
Ferozewala,PK63301,Sheikhupura,PK633,Punjab,PK6,0.6467951874802431,964679.8010148294
Muridke,PK63302,Sheikhupura,PK633,Punjab,PK6,0.4519465957694244,507785.74311029725
Daska,PK63401,Sialkot,PK634,Punjab,PK6,0.6802251818058048,976046.4861447196
Pasrur,PK63402,Sialkot,PK634,Punjab,PK6,0.5015195461823929,1009723.5171502093
Sambrial,PK63403,Sialkot,PK634,Punjab,PK6,0.636513792577793,503863.4952165801
Sialkot,PK63404,Sialkot,PK634,Punjab,PK6,1.0326116743996765,2015287.7419697382
Sarai Alamgir,PK61003,Gujrat,PK610,Punjab,PK6,0.3759425448212772,311424.4000755204
Dina,PK61301,Jhelum,PK613,Punjab,PK6,0.4306021448488403,332601.73618633114
Jhelum,PK61302,Jhelum,PK613,Punjab,PK6,0.5673747658251213,530533.7963476004
Ahmadpur Sial,PK61201,Jhang,PK612,Punjab,PK6,-0.21964849323840496,365387.373548422
Shorkot,PK61203,Jhang,PK612,Punjab,PK6,-0.13227282064183807,742057.6633935627
Kabirwala,PK61502,Khanewal,PK615,Punjab,PK6,-0.16296411308300582,1095837.3403718285
Pir Mahal,PK63504,Toba Tek Singh,PK635,Punjab,PK6,0.04291160156500167,315716.45894550905
Bhalwal,PK63201,Sargodha,PK632,Punjab,PK6,0.1520568669460264,438229.4835123271
Chunian,PK61401,Kasur,PK614,Punjab,PK6,0.03850191076727608,952373.8995970469
Kasur,PK61402,Kasur,PK614,Punjab,PK6,0.34796004767843913,1339699.7886505798
Kot Radha Kishen,PK61403,Kasur,PK614,Punjab,PK6,0.3539419218205356,588217.4326716401
Lahore Cantt,PK61701,Lahore,PK617,Punjab,PK6,0.9540831252626687,7132502.026303143
Lahore City,PK61702,Lahore,PK617,Punjab,PK6,0.9128508592329132,5195861.603278169
Sharak Pur,PK63304,Sheikhupura,PK633,Punjab,PK6,0.312091810410294,188802.3697335273
Jahanian,PK61501,Khanewal,PK615,Punjab,PK6,0.11289431747598842,413227.8996738214
Khanewal,PK61503,Khanewal,PK615,Punjab,PK6,0.32466517697872843,894147.9958833158
Multan City,PK62202,Multan,PK622,Punjab,PK6,0.9545194350267164,2502937.3929232117
Shahpur,PK63205,Sargodha,PK632,Punjab,PK6,-0.1602712418040018,447273.9154578019
Khanpur,PK62801,Rahim Yar Khan,PK628,Punjab,PK6,0.10426701182503034,1135107.45378064
Rajanpur,PK62902,Rajanpur,PK629,Punjab,PK6,0.028210495622697028,655042.8767243028
Narowal,PK62501,Narowal,PK625,Punjab,PK6,0.14676741920047892,674030.7602555957
Shakargarh,PK62502,Narowal,PK625,Punjab,PK6,0.15337407825028046,818421.7926318273
Zafarwal,PK62503,Narowal,PK625,Punjab,PK6,0.06367235709154834,601108.4240459129
Rahim Yar Khan,PK62803,Rahim Yar Khan,PK628,Punjab,PK6,0.29569125705550264,1630423.8743266333
Sadiqabad,PK62804,Rahim Yar Khan,PK628,Punjab,PK6,0.2662606206480688,1286351.4880262632
Daharki,PK70501,Ghotki,PK705,Sindh,PK7,-0.015410582042643759,325850.614702614
Ghotki,PK70502,Ghotki,PK705,Sindh,PK7,0.023871861109450505,470745.37002525106
Khangarh,PK70503,Ghotki,PK705,Sindh,PK7,-0.20033477882699624,146338.71718719788
Mirpur Mathelo,PK70504,Ghotki,PK705,Sindh,PK7,-0.321074541247931,270545.7008869089
Ubauro,PK70505,Ghotki,PK705,Sindh,PK7,-0.18930940016298373,326960.9361551069
Badin,PK70101,Badin,PK701,Sindh,PK7,-0.255580316646168,459815.5858907886
Matli,PK70102,Badin,PK701,Sindh,PK7,-0.21197422936934818,452476.24219610915
Shaheed Fazil Rahu,PK70103,Badin,PK701,Sindh,PK7,-0.39528491230534524,308652.0994371958
Talhar,PK70104,Badin,PK701,Sindh,PK7,-0.4783301279811862,149465.09187192097
Tando Bago,PK70105,Badin,PK701,Sindh,PK7,-0.42253119751983015,392615.6483118199
Hyderabad,PK70601,Hyderabad,PK706,Sindh,PK7,0.4608596419929563,537638.6014643312
Latifabad,PK70603,Hyderabad,PK706,Sindh,PK7,0.27681918105341413,58025.330842938274
Digri,PK71601,Mirpur Khas,PK716,Sindh,PK7,-0.23797267326767607,241346.92050695047
Jhudo,PK71603,Mirpur Khas,PK716,Sindh,PK7,-0.3365230776424569,219436.65199247748
Kot Ghulam Muhammad,PK71604,Mirpur Khas,PK716,Sindh,PK7,-0.36163222550020774,283443.3130973056
Jati,PK72201,Sujawal,PK722,Sindh,PK7,-0.4713087315518598,198597.5793420449
Mirpur Bathoro,PK72203,Sujawal,PK722,Sindh,PK7,-0.3101161070719219,239077.96101798862
Chamber,PK72401,Tando Allahyar,PK724,Sindh,PK7,-0.31688938595107635,196343.8889114149
Bulri Shah Karim,PK72501,Tando Muhammad Khan,PK725,Sindh,PK7,-0.4664801445792517,244182.8898524344
Tando Ghulam Hyder,PK72502,Tando Muhammad Khan,PK725,Sindh,PK7,-0.2780301344440492,201262.76866190135
Tando Muhammad Khan,PK72503,Tando Muhammad Khan,PK725,Sindh,PK7,0.1216816615796811,261310.67620954663
Diplo,PK72603,Tharparkar,PK726,Sindh,PK7,-0.35994451004317796,113454.90056219138
Kaloi,PK72607,Tharparkar,PK726,Sindh,PK7,-0.19392693873085,144246.38520087674
Thatta,PK72704,Thatta,PK727,Sindh,PK7,-0.11943854028287576,403001.88993411884
Dadu,PK70301,Dadu,PK703,Sindh,PK7,0.1575275372687501,505118.38148510456
Mehar,PK70304,Dadu,PK703,Sindh,PK7,-0.07365499156863962,498764.1788010262
Manjhand,PK70802,Jamshoro,PK708,Sindh,PK7,-0.20807112796756175,68855.81126655266
Sehwan Sharif,PK70803,Jamshoro,PK708,Sindh,PK7,0.09144924823948311,271999.58651060984
Nasir Abad,PK70902,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.04006506674990971,200349.87190922722
Warah,PK70907,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.04728494395624047,280702.28664460033
Baqrani,PK71301,Larkana,PK713,Sindh,PK7,-0.121930632521496,287378.36407672614
Dokri,PK71302,Larkana,PK713,Sindh,PK7,-0.10041590732415749,239355.5761191845
Bhiria,PK71701,Naushahro Feroze,PK717,Sindh,PK7,-0.28482890256558324,300956.6171000302
Kandiaro,PK71702,Naushahro Feroze,PK717,Sindh,PK7,-0.3491203677342354,327475.93254523724
Moro,PK71704,Naushahro Feroze,PK717,Sindh,PK7,0.15923539913105683,420744.842066057
Naushahro Feroze,PK71705,Naushahro Feroze,PK717,Sindh,PK7,-0.1358182891817495,379411.2109439485
Daulat Pur,PK71901,Shaheed Benazir Abad,PK719,Sindh,PK7,-0.1601063914827606,398950.10088671744
Sakrand,PK71904,Shaheed Benazir Abad,PK719,Sindh,PK7,-0.033798906433460944,453849.3547580559
Korangi Town,PK71201,Korangi Karachi,PK712,Sindh,PK7,1.0620190463406305,1226637.9403260462
Landhi Town,PK71202,Korangi Karachi,PK712,Sindh,PK7,0.8509905479452311,453597.872579433
Shah Faisal Town,PK71203,Korangi Karachi,PK712,Sindh,PK7,0.9307266105111934,284062.3903345652
Liyari Town,PK72102,South Karachi,PK721,Sindh,PK7,0.8510631935331981,1511618.3573430926
Saddar Town,PK72103,South Karachi,PK721,Sindh,PK7,1.1257693845883237,2629822.709058378
Kandh Kot,PK71001,Kashmore,PK710,Sindh,PK7,0.1639904782564866,360866.4262115415
Pano Aqil,PK72302,Sukkur,PK723,Sindh,PK7,0.172437506405562,417955.6870994717
Rohri,PK72303,Sukkur,PK723,Sindh,PK7,0.1916949158614281,289552.3146273382
Salehpat,PK72304,Sukkur,PK723,Sindh,PK7,-0.22771348610119044,123824.18676177785
Hyderabad City,PK70602,Hyderabad,PK706,Sindh,PK7,1.1337449826507175,2010423.8633985035
Qasimabad,PK70604,Hyderabad,PK706,Sindh,PK7,0.8456664225496947,151833.87051751092
Kotri,PK70801,Jamshoro,PK708,Sindh,PK7,0.5022203559664853,414181.3540247679
Matiari,PK71502,Matiari,PK715,Sindh,PK7,-0.19470796905881005,404096.73670776933
Tando Allahyar,PK72403,Tando Allahyar,PK724,Sindh,PK7,0.3687635650680392,378064.59251795337
Sijawal Junejo,PK70906,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.2048358255885915,122949.68732830137
Khanpur,PK72002,Shikarpur,PK720,Sindh,PK7,-0.23515171729421327,290899.09456786327
Lakhi,PK72003,Shikarpur,PK720,Sindh,PK7,-0.08978139662350543,315246.3567772433
Hala,PK71501,Matiari,PK715,Sindh,PK7,-0.009734482991527156,203125.08335117996
Saeedabad,PK71503,Matiari,PK715,Sindh,PK7,-0.10443417308591149,185756.14913653955
Shahdadpur,PK71804,Sanghar,PK718,Sindh,PK7,0.09515635895107412,503157.54211668484
Daur,PK71902,Shaheed Benazir Abad,PK719,Sindh,PK7,-0.2858189857202918,451423.399198642
Nawabshah,PK71903,Shaheed Benazir Abad,PK719,Sindh,PK7,0.38769648023774256,435917.29960075207
Meero Khan,PK70901,Kambar Shahdad Kot,PK709,Sindh,PK7,-0.18879693277686105,158320.37055759504
Larkana,PK71303,Larkana,PK713,Sindh,PK7,0.7054936141801776,713393.0865316354
Faiz Ganj,PK71101,Khairpur,PK711,Sindh,PK7,-0.14817469252719467,235353.2343618907
Gambat,PK71102,Khairpur,PK711,Sindh,PK7,-0.21574486828806028,261719.06597002596
Khairpur,PK71103,Khairpur,PK711,Sindh,PK7,0.4126255254520395,447280.9111750163
Kingri,PK71104,Khairpur,PK711,Sindh,PK7,-0.040445330678925195,346758.69871731475
Kot Diji,PK71105,Khairpur,PK711,Sindh,PK7,-0.23579019000475535,357611.9445171803
Nara,PK71106,Khairpur,PK711,Sindh,PK7,-0.27631925467688817,148269.2666295115
Sobho Dero,PK71107,Khairpur,PK711,Sindh,PK7,-0.1721956516886881,294412.22718688473
Thari Meer Wah,PK71108,Khairpur,PK711,Sindh,PK7,-0.16876376739452603,354914.4052500576
Mehrab Pur,PK71703,Naushahro Feroze,PK717,Sindh,PK7,-0.30060589358635775,304154.2251800671
Khipro,PK71802,Sanghar,PK718,Sindh,PK7,-0.30475922923469684,381151.6376546044
Sanghar,PK71803,Sanghar,PK718,Sindh,PK7,-0.1340775025282163,421730.1539263539
Sinjhoro,PK71805,Sanghar,PK718,Sindh,PK7,-0.35756976975810917,317792.08983355574
New Sukkur,PK72301,Sukkur,PK723,Sindh,PK7,0.27765285225404096,66280.52719394118
Sukkur,PK72305,Sukkur,PK723,Sindh,PK7,0.7359033451067751,675602.9943278283
Mirpur Sakro,PK72703,Thatta,PK727,Sindh,PK7,-0.21541980840500868,306660.4102217965
Tando Adam,PK71806,Sanghar,PK718,Sindh,PK7,0.4145622788437114,367299.51296978444
Jhando Mari,PK72402,Tando Allahyar,PK724,Sindh,PK7,-0.2218495845904821,209793.7697857879
Hussain Bux Muree,PK71602,Mirpur Khas,PK716,Sindh,PK7,-0.34675705378387217,109772.5595115386
Mirpur Khas,PK71605,Mirpur Khas,PK716,Sindh,PK7,0.5409490348368693,374233.3658590242
Shuja Abad,PK71606,Mirpur Khas,PK716,Sindh,PK7,-0.359902862790452,131595.55914761126
Sindhri,PK71607,Mirpur Khas,PK716,Sindh,PK7,-0.3894416606878438,207724.6660428904
Jam Nawaz Ali,PK71801,Sanghar,PK718,Sindh,PK7,-0.39735346785699416,142309.81168862619
Mithi,PK72605,Tharparkar,PK726,Sindh,PK7,-0.11205591486815188,258069.67235927656
Kunri,PK72801,Umer Kot,PK728,Sindh,PK7,-0.1281931520261795,253520.67416549847
Pithoro,PK72802,Umer Kot,PK728,Sindh,PK7,-0.39012891812838846,124238.4859553203
Samaro,PK72803,Umer Kot,PK728,Sindh,PK7,-0.39312233189102547,179788.66598543897
Dahli,PK72602,Tharparkar,PK726,Sindh,PK7,-0.24183724718253521,215415.42959908023
Umer Kot,PK72804,Umer Kot,PK728,Sindh,PK7,0.08831576535405071,496289.42028934136
Kharo Chan,PK72202,Sujawal,PK722,Sindh,PK7,-0.33164385116945855,41917.96567712352
Shah Bunder,PK72204,Sujawal,PK722,Sindh,PK7,-0.23687391682892886,157747.79622045718
Sujawal,PK72205,Sujawal,PK722,Sindh,PK7,-0.24328209589937316,203095.55158484913
Ghorabari,PK72701,Thatta,PK727,Sindh,PK7,-0.4289799057007412,168234.8621405214
Keti Bunder,PK72702,Thatta,PK727,Sindh,PK7,-0.5314674479333439,39395.2097456865
Chachro,PK72601,Tharparkar,PK726,Sindh,PK7,-0.32291349390724955,283440.6864733994
Islam Kot,PK72604,Tharparkar,PK726,Sindh,PK7,-0.3588229193423901,191567.8126640208
Nagar Parkar,PK72606,Tharparkar,PK726,Sindh,PK7,-0.34636969706679743,241921.5650685504
